id_bo_luat,toi_danh,dieu,khoan,noi_dung,nhan_dieu_luat,muc_hinh_phat,muc_hinh_phat_cao_nhat,phan_loai_toi_pham,thoi_han_dieu_tra,gia_han_dieu_tra_1,gia_han_dieu_tra_2,gia_han_dieu_tra_3,thoi_han_dieu_tra_bo_sung_vks,thoi_han_dieu_tra_bo_sung_ta,thoi_hieu,thoi_han_tam_giam,gia_han_tam_giam_1,gia_han_tam_giam_2,gia_han_tam_giam_3,gia_han_tam_giam_4
108_1,Phản bội tổ quốc,108,1,"1. Công dân việt nam nào câu kết với nước ngoài nhằm gây nguy hại cho độc lập, chủ quyền, thống nhất và toàn vẹn lãnh thổ của tổ quốc, chế độ xã hội chủ nghĩa và nhà nước cộng hòa xã hội chủ nghĩa việt nam, tiềm lực quốc phòng, an ninh, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình.","Khoản 1, Điều 108 - Phản bội tổ quốc",Tù từ 12 năm đến 20 năm; Tù chung thân; Tử hình,Tử hình,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
108_2,Phản bội tổ quốc,108,2,"2. Phạm tội trong trường hợp có nhiều tình tiết giảm nhẹ, thì bị phạt tù từ 07 năm đến 15 năm.","Khoản 2, Điều 108 - Phản bội tổ quốc",Tù từ 07 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
109_1,Hoạt động nhằm lật đổ chính quyền nhân dân,109,1,"1. Người tổ chức, người xúi giục, người hoạt động đắc lực hoặc gây hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình;","Khoản 1, Điều 109 - Hoạt động nhằm lật đổ chính quyền nhân dân",Tù từ 12 năm đến 20 năm; Tù chung thân; Tử hình,Tử hình,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
109_2,Hoạt động nhằm lật đổ chính quyền nhân dân,109,2,"2. Người đồng phạm khác, thì bị phạt tù từ 05 năm đến 12 năm;","Khoản 2, Điều 109 - Hoạt động nhằm lật đổ chính quyền nhân dân",Tù từ 05 năm đến 12 năm,Tù 12 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
110_1,Gián điệp,110,1,"1. Người nào có một trong các hành vi sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình: a) hoạt động tình báo, phá hoại hoặc gây cơ sở để hoạt động tình báo, phá hoại chống nước cộng hòa xã hội chủ nghĩa việt nam; b) gây cơ sở để hoạt động tình báo, phá hoại theo sự chỉ đạo của nước ngoài; hoạt động thám báo, chỉ điểm, chứa chấp, dẫn đường hoặc thực hiện hành vi khác giúp người nước ngoài hoạt động tình báo, phá hoại; c) cung cấp hoặc thu thập nhằm cung cấp bí mật nhà nước cho nước ngoài; thu thập, cung cấp tin tức, tài liệu khác nhằm mục đích để nước ngoài sử dụng chống nước cộng hòa xã hội chủ nghĩa việt nam.","Khoản 1, Điều 110 - Gián điệp",Tù từ 12 năm đến 20 năm; Tù chung thân; Tử hình,Tử hình,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
110_2,Gián điệp,110,2,"2. Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 05 năm đến 15 năm.","Khoản 2, Điều 110 - Gián điệp",Tù từ 05 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
110_3,Gián điệp,110,3,"3. Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.","Khoản 3, Điều 110 - Gián điệp",Tù từ 01 năm đến 05 năm,Tù 05 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
111_1,Xâm phạm an ninh lãnh thổ,111,1,"1. Người tổ chức, người hoạt động đắc lực hoặc gây hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân;","Khoản 1, Điều 111 - Xâm phạm an ninh lãnh thổ",Tù từ 12 năm đến 20 năm; Tù chung thân,Tù chung thân,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
111_2,Xâm phạm an ninh lãnh thổ,111,2,"2. Người đồng phạm khác, thì bị phạt tù từ 05 năm đến 15 năm;","Khoản 2, Điều 111 - Xâm phạm an ninh lãnh thổ",Tù từ 05 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
112_1,Bạo loạn,112,1,"1. Người tổ chức, người hoạt động đắc lực hoặc gây hậu quả nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình;","Khoản 1, Điều 112 - Bạo loạn",Tù từ 12 năm đến 20 năm; Tù chung thân; Tử hình,Tử hình,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
112_2,Bạo loạn,112,2,"2. Người đồng phạm khác, thì bị phạt tù từ 05 năm đến 15 năm;","Khoản 2, Điều 112 - Bạo loạn",Tù từ 05 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
113_1,Khủng bố nhằm chống chính quyền nhân dân,113,1,"1. người nào nhằm chống chính quyền nhân dân mà xâm phạm tính mạng của cán bộ, công chức hoặc người khác hoặc phá hủy tài sản của cơ quan, tổ chức, cá nhân, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình.","Khoản 1, Điều 113 - Khủng bố nhằm chống chính quyền nhân dân",Tù từ 12 năm đến 20 năm; Tù chung thân; Tử hình,Tử hình,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
113_2,Khủng bố nhằm chống chính quyền nhân dân,113,2,"2. phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 10 năm đến 15 năm: a) thành lập, tham gia tổ chức khủng bố, tổ chức tài trợ khủng bố; b) cưỡng ép, lôi kéo, tuyển mộ, đào tạo, huấn luyện phần tử khủng bố; chế tạo, cung cấp vũ khí cho phần tử khủng bố; c) xâm phạm tự do thân thể, sức khỏe của cán bộ, công chức hoặc người khác; chiếm giữ, làm hư hại tài sản của cơ quan, tổ chức, cá nhân; d) tấn công, xâm hại, cản trở, gây rối loạn hoạt động của mạng máy tính, mạng viễn thông, phương tiện điện tử của cơ quan, tổ chức, cá nhân.","Khoản 2, Điều 113 - Khủng bố nhằm chống chính quyền nhân dân",Tù từ 10 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
113_3,Khủng bố nhằm chống chính quyền nhân dân,113,3,"3. phạm tội trong trường hợp đe dọa thực hiện một trong các hành vi quy định tại khoản 1 điều này hoặc có hành vi khác uy hiếp tinh thần của cán bộ, công chức hoặc người khác, thì bị phạt tù từ 05 năm đến 10 năm.","Khoản 3, Điều 113 - Khủng bố nhằm chống chính quyền nhân dân",Tù từ 05 năm đến 10 năm,Tù 10 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
114_1,Phá hoại cơ sở vật chất - kỹ thuật của nước cộng hòa xã hội chủ nghĩa việt nam,114,1,"1. Người nào nhằm chống chính quyền nhân dân mà phá hoại cơ sở vật chất - kỹ thuật của nước cộng hòa xã hội chủ nghĩa việt nam trong các lĩnh vực chính trị, quốc phòng, an ninh, kinh tế, khoa học - kỹ thuật, văn hoá, xã hội, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình.","Khoản 1, Điều 114 - Phá hoại cơ sở vật chất - kỹ thuật của nước cộng hòa xã hội chủ nghĩa việt nam",Tù từ 12 năm đến 20 năm; Tù chung thân; Tử hình,Tử hình,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
114_2,Phá hoại cơ sở vật chất - kỹ thuật của nước cộng hòa xã hội chủ nghĩa việt nam,114,2,"2. Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 05 năm đến 15 năm.","Khoản 2, Điều 114 - Phá hoại cơ sở vật chất - kỹ thuật của nước cộng hòa xã hội chủ nghĩa việt nam",Tù từ 05 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
115_1,Phá hoại việc thực hiện các chính sách kinh tế - xã hội,115,1,"1. Người nào nhằm chống chính quyền nhân dân mà phá hoại việc thực hiện các chính sách kinh tế - xã hội, thì bị phạt tù từ 07 năm đến 15 năm.","Khoản 1, Điều 115 - Phá hoại việc thực hiện các chính sách kinh tế - xã hội",Tù từ 07 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
115_2,Phá hoại việc thực hiện các chính sách kinh tế - xã hội,115,2,"2. Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 03 năm đến 07 năm.","Khoản 2, Điều 115 - Phá hoại việc thực hiện các chính sách kinh tế - xã hội",Tù từ 03 năm đến 07 năm,Tù 07 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
116_1,Phá hoại chính sách đoàn kết,116,1,"1. Người nào thực hiện một trong những hành vi sau đây nhằm chống chính quyền nhân dân, thì bị phạt tù từ 07 năm đến 15 năm: a) gây chia rẽ giữa các tầng lớp nhân dân, giữa nhân dân với chính quyền nhân dân, với lực lượng vũ trang nhân dân, với các tổ chức chính trị - xã hội; b) gây hằn thù, kỳ thị, chia rẽ, ly khai dân tộc, xâm phạm quyền bình đẳng trong cộng đồng các dân tộc việt nam; c) gây chia rẽ người theo tôn giáo với người không theo tôn giáo, giữa người theo các tôn giáo khác nhau, chia rẽ các tín đồ tôn giáo với chính quyền nhân dân, với các tổ chức chính trị - xã hội; d) phá hoại việc thực hiện chính sách đoàn kết quốc tế.","Khoản 1, Điều 116 - Phá hoại chính sách đoàn kết",Tù từ 07 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
116_2,Phá hoại chính sách đoàn kết,116,2,"2. Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 02 năm đến 07 năm.","Khoản 2, Điều 116 - Phá hoại chính sách đoàn kết",Tù từ 02 năm đến 07 năm,Tù 07 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
117_1,"Làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm nhằm chống nhà nước cộng hòa xã hội chủ nghĩa việt nam",117,1,"1. Người nào có một trong những hành vi sau đây nhằm chống nhà nước cộng hòa xã hội chủ nghĩa việt nam, thì bị phạt tù từ 05 năm đến 12 năm: a) làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm có nội dung xuyên tạc, phỉ báng chính quyền nhân dân; b) làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm có nội dung bịa đặt, gây hoang mang trong nhân dân; c) làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm gây chiến tranh tâm lý.","Khoản 1, Điều 117 - Làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm nhằm chống nhà nước cộng hòa xã hội chủ nghĩa việt nam",Tù từ 05 năm đến 12 năm,Tù 12 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
117_2,"Làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm nhằm chống nhà nước cộng hòa xã hội chủ nghĩa việt nam",117,2,"2. Phạm tội trong trường hợp đặc biệt nghiêm trọng, thì bị phạt tù từ 10 năm đến 20 năm.","Khoản 2, Điều 117 - Làm, tàng trữ, phát tán hoặc tuyên truyền thông tin, tài liệu, vật phẩm nhằm chống nhà nước cộng hòa xã hội chủ nghĩa việt nam",Tù từ 10 năm đến 20 năm,Tù 20 năm,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
118_1,Phá rối an ninh,118,1,"1. Người nào nhằm chống chính quyền nhân dân mà kích động, lôi kéo, tụ tập nhiều người phá rối an ninh, chống người thi hành công vụ, cản trở hoạt động của cơ quan, tổ chức, nếu không thuộc trường hợp quy định tại điều 112 của bộ luật này, thì bị phạt tù từ 05 năm đến 15 năm.","Khoản 1, Điều 118 - Phá rối an ninh",Tù từ 05 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
118_2,Phá rối an ninh,118,2,"2. Người đồng phạm khác, thì bị phạt tù từ 02 năm đến 07 năm.","Khoản 2, Điều 118 - Phá rối an ninh",Tù từ 02 năm đến 07 năm,Tù 07 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
119_1,Chống phá cơ sở giam giữ,119,1,"1. Người nào nhằm chống chính quyền nhân dân mà phá cơ sở giam giữ, tổ chức trốn khỏi cơ sở giam giữ, đánh tháo người bị giam giữ, người bị áp giải hoặc trốn khỏi cơ sở giam giữ, thì bị phạt tù từ 10 năm đến 20 năm hoặc tù chung thân.","Khoản 1, Điều 119 - Chống phá cơ sở giam giữ",Tù từ 10 năm đến 20 năm; Tù chung thân,Tù chung thân,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
119_2,Chống phá cơ sở giam giữ,119,2,"2. Phạm tội trong trường hợp ít nghiêm trọng, thì bị phạt tù từ 03 năm đến 10 năm.","Khoản 2, Điều 119 - Chống phá cơ sở giam giữ",Tù từ 03 năm đến 10 năm,Tù 10 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
120_1,"Tổ chức, cưỡng ép, xúi giục người khác trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân",120,1,"1. Người nào tổ chức, cưỡng ép, xúi giục người khác trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân, thì bị phạt tù từ 05 năm đến 15 năm.","Khoản 1, Điều 120 - Tổ chức, cưỡng ép, xúi giục người khác trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân",Tù từ 05 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
120_2,"Tổ chức, cưỡng ép, xúi giục người khác trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân",120,2,"2. Phạm tội trong trường hợp đặc biệt nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm hoặc tù chung thân.","Khoản 2, Điều 120 - Tổ chức, cưỡng ép, xúi giục người khác trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân",Tù từ 12 năm đến 20 năm; Tù chung thân,Tù chung thân,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
121_1,Trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân,121,1,"1. Người nào trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân, thì bị phạt tù từ 03 năm đến 12 năm.","Khoản 1, Điều 121 - Trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân",Tù từ 03 năm đến 12 năm,Tù 12 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
121_2,Trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân,121,2,"2. Phạm tội trong trường hợp đặc biệt nghiêm trọng, thì bị phạt tù từ 12 năm đến 20 năm.","Khoản 2, Điều 121 - Trốn đi nước ngoài hoặc trốn ở lại nước ngoài nhằm chống chính quyền nhân dân",Tù từ 12 năm đến 20 năm,Tù 20 năm,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
123_1,Giết người,123,1,"1. Người nào giết người thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 12 năm đến 20 năm, tù chung thân hoặc tử hình: a) giết 02 người trở lên; b) giết người dưới 16 tuổi; c) giết phụ nữ mà biết là có thai; d) giết người đang thi hành công vụ hoặc vì lý do công vụ của nạn nhân; đ) giết ông, bà, cha, mẹ, người nuôi dưỡng, thầy giáo, cô giáo của mình; e) giết người mà liền trước đó hoặc ngay sau đó lại thực hiện một tội phạm rất nghiêm trọng hoặc tội phạm đặc biệt nghiêm trọng; g) để thực hiện hoặc che giấu tội phạm khác; h) để lấy bộ phận cơ thể của nạn nhân; i) thực hiện tội phạm một cách man rợ; k) bằng cách lợi dụng nghề nghiệp; l) bằng phương pháp có khả năng làm chết nhiều người; m) thuê giết người hoặc giết người thuê; n) có tính chất côn đồ; o) có tổ chức; p) tái phạm nguy hiểm; q) vì động cơ đê hèn.","Khoản 1, Điều 123 - Giết người",Tù từ 12 năm đến 20 năm; Tù chung thân; Tử hình,Tử hình,Đặc biệt nghiêm trọng,4,4,4,4,2,1,20,,,,,
123_2,Giết người,123,2,"2. Phạm tội không thuộc các trường hợp quy định tại khoản 1 điều này, thì bị phạt tù từ 07 năm đến 15 năm.","Khoản 2, Điều 123 - Giết người",Tù từ 07 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
123_3,Giết người,123,3,"3. Người chuẩn bị phạm tội này, thì bị phạt tù từ 01 năm đến 05 năm.","Khoản 3, Điều 123 - Giết người",Tù từ 01 năm đến 05 năm,Tù 05 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
124_1,Giết hoặc vứt bỏ con mới đẻ,124,1,"1. Người mẹ nào do ảnh hưởng nặng nề của tư tưởng lạc hậu hoặc trong hoàn cảnh khách quan đặc biệt mà giết con do mình đẻ ra trong 07 ngày tuổi, thì bị phạt tù từ 06 tháng đến 03 năm.","Khoản 1, Điều 124 - Giết hoặc vứt bỏ con mới đẻ",Cải tạo không giam giữ đến 02 năm; Tù từ 03 tháng đến 02 năm,Tù 03 năm,Ít nghiêm trọng,2,2,,,2,1,5,,,,,
125_1,Giết người trong trạng thái tinh thần bị kích động mạnh,125,1,"1. Người nào giết người trong trạng thái tinh thần bị kích động mạnh do hành vi trái pháp luật nghiêm trọng của nạn nhân đối với người đó hoặc đối với người thân thích của người đó, thì bị phạt tù từ 06 tháng đến 03 năm.","Khoản 1, Điều 125 - Giết người trong trạng thái tinh thần bị kích động mạnh",Tù từ 06 tháng đến 03 năm,Tù 03 năm,Ít nghiêm trọng,2,2,,,2,1,5,,,,,
126_1,Giết người do vượt quá giới hạn phòng vệ chính đáng hoặc do vượt quá mức cần thiết khi bắt giữ người phạm tội,126,1,"1. Người nào giết người trong trường hợp vượt quá giới hạn phòng vệ chính đáng hoặc trong trường hợp vượt quá mức cần thiết khi bắt giữ người phạm tội, thì bị phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.","Khoản 1, Điều 126 - Giết người do vượt quá giới hạn phòng vệ chính đáng hoặc do vượt quá mức cần thiết khi bắt giữ người phạm tội",Cải tạo không giam giữ đến 02 năm; Tù từ 03 tháng đến 02 năm,Tù 02 năm,Ít nghiêm trọng,2,2,,,2,1,5,,,,,
127_1,Làm chết người trong khi thi hành công vụ,127,1,"1. Người nào trong khi thi hành công vụ mà làm chết người do dùng vũ lực ngoài những trường hợp pháp luật cho phép, thì bị phạt tù từ 05 năm đến 10 năm.","Khoản 1, Điều 127 - Làm chết người trong khi thi hành công vụ",Tù từ 05 năm đến 10 năm,Tù 10 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
127_2,Làm chết người trong khi thi hành công vụ,127,2,"2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 08 năm đến 15 năm: a) làm chết 02 người trở lên; b) đối với người dưới 16 tuổi, phụ nữ mà biết là có thai.","Khoản 2, Điều 127 - Làm chết người trong khi thi hành công vụ",Tù từ 08 năm đến 15 năm,Tù 15 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
128_1,Vô ý làm chết người,128,1,"1. Người nào vô ý làm chết người, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 01 năm đến 05 năm.","Khoản 1, Điều 128 - Vô ý làm chết người",Cải tạo không giam giữ đến 03 năm; Tù từ 01 năm đến 05 năm,Tù 05 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
129_1,Vô ý làm chết người do vi phạm quy tắc nghề nghiệp hoặc quy tắc hành chính,129,1,"1. Người nào vô ý làm chết người do vi phạm quy tắc nghề nghiệp hoặc quy tắc hành chính, thì bị phạt tù từ 01 năm đến 05 năm.","Khoản 1, Điều 129 - Vô ý làm chết người do vi phạm quy tắc nghề nghiệp hoặc quy tắc hành chính",Tù từ 01 năm đến 05 năm,Tù 05 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
129_2,Vô ý làm chết người do vi phạm quy tắc nghề nghiệp hoặc quy tắc hành chính,129,2,"2. Phạm tội làm chết 02 người trở lên, thì bị phạt tù từ 05 năm đến 12 năm.","Khoản 2, Điều 129 - Vô ý làm chết người do vi phạm quy tắc nghề nghiệp hoặc quy tắc hành chính",Tù từ 05 năm đến 12 năm,Tù 12 năm,Rất nghiêm trọng,4,4,4,,2,1,15,,,,,
130_1,Bức tử,130,1,"1. Người nào đối xử tàn ác, thường xuyên ức hiếp, ngược đãi hoặc làm nhục người lệ thuộc mình làm người đó tự sát, thì bị phạt tù từ 02 năm đến 07 năm.","Khoản 1, Điều 130 - Bức tử",Tù từ 02 năm đến 07 năm,Tù 07 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
131_1,Xúi giục hoặc giúp người khác tự sát,131,1,"1. Người nào thực hiện một trong các hành vi sau đây, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm: a) kích động, dụ dỗ, thúc đẩy người khác tự tước đoạt tính mạng của họ; b) tạo điều kiện vật chất hoặc tinh thần cho người khác tự tước đoạt tính mạng của họ.","Khoản 1, Điều 131 - Xúi giục hoặc giúp người khác tự sát",Cải tạo không giam giữ đến 03 năm; Tù từ 06 tháng đến 03 năm,Tù 03 năm,Ít nghiêm trọng,2,2,,,2,1,5,,,,,
132_1,Không cứu giúp người đang ở trong tình trạng nguy hiểm đến tính mạng,132,1,"1. Người nào thấy người khác đang ở trong tình trạng nguy hiểm đến tính mạng, tuy có điều kiện mà không cứu giúp dẫn đến hậu quả người đó chết, thì bị phạt cảnh cáo, phạt cải tạo không giam giữ đến 02 năm hoặc phạt tù từ 03 tháng đến 02 năm.","Khoản 1, Điều 132 - Không cứu giúp người đang ở trong tình trạng nguy hiểm đến tính mạng",Cảnh cáo; Cải tạo không giam giữ đến 02 năm; Tù từ 03 tháng đến 02 năm,Tù 02 năm,Ít nghiêm trọng,2,2,,,2,1,5,,,,,
132_2,Không cứu giúp người đang ở trong tình trạng nguy hiểm đến tính mạng,132,2,"2. Phạm tội thuộc một trong các trường hợp sau đây, thì bị phạt tù từ 01 năm đến 05 năm: a) người không cứu giúp là người đã vô ý gây ra tình trạng nguy hiểm; b) người không cứu giúp là người mà theo pháp luật hay nghề nghiệp có nghĩa vụ phải cứu giúp.","Khoản 2, Điều 132 - Không cứu giúp người đang ở trong tình trạng nguy hiểm đến tính mạng",Tù từ 01 năm đến 05 năm,Tù 05 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
132_3,Không cứu giúp người đang ở trong tình trạng nguy hiểm đến tính mạng,132,3,"3. Phạm tội dẫn đến hậu quả 02 người trở lên chết, thì bị phạt tù từ 03 năm đến 07 năm.","Khoản 3, Điều 132 - Không cứu giúp người đang ở trong tình trạng nguy hiểm đến tính mạng",Tù từ 03 năm đến 07 năm,Tù 07 năm,Nghiêm trọng,3,3,2,,2,1,10,,,,,
133_1,Đe dọa giết người,133,1,"1. Người nào đe doạ giết người, nếu có căn cứ làm cho người bị đe dọa lo sợ rằng việc đe dọa này sẽ được thực hiện, thì bị phạt cải tạo không giam giữ đến 03 năm hoặc phạt tù từ 06 tháng đến 03 năm.","Khoản 1, Điều 133 - Đe dọa giết người",Cải tạo không giam giữ đến 03 năm; Tù từ 06 tháng đến 03 năm,Tù 03 năm,Ít nghiêm trọng,2,2,,,2,1,5,,,,,
